N.º de artículo,No. Parte Newark,¿Conforme a RoHS?,Notas,Cantidad,Número Parte Fabricante,Fabricante / Descripción,Disponibilidad,Precio unitario,Total de línea,Precio de descuento
1,41K4141,YES,,1.0,LM2675M-5.0/NOPB,"TEXAS INSTRUMENTS IC, STEP-DOWN REGULATOR, SOIC-8 TEXAS INSTRUMENTS-LM2675M-5.0/NOPB-IC, STEP-DOWN REGULATOR, SOIC-8",5500,5.97,5.97,,
2,68R4966,YES,,2.0,CC1206KRX7R9BB103,"YAGEO CAPACITOR CERAMIC 0.01UF, 50V, X7R, 10%, 1206 YAGEO-CC1206KRX7R9BB103-CAPACITOR CERAMIC 0.01UF, 50V, X7R, 10%, 1206",5460,0.05,0.10,,
3,46P8758,YES,,1.0,13R473C,"MURATA POWER SOLUTIONS INDUCTOR, 47UH, 1.5A, RADIAL LEADED MURATA POWER SOLUTIONS-13R473C-INDUCTOR, 47UH, 1.5A, RADIAL LEADED",329 (Disponible hasta que se agoten las existencias),0.85,0.85,,
4,16M7370,YES,,1.0,EKZE160ELL680MF07D,"UNITED CHEMI-CON CAPACITOR ALUM ELEC 68UF, 16V, 20%, RADIAL UNITED CHEMI-CON-EKZE160ELL680MF07D-CAPACITOR ALUM ELEC 68UF, 16V, 20%, RADIAL",728,0.38,0.38,,
5,38K4678,YES,,1.0,MCGPR25V107M6.3X11,"MULTICOMP CAPACITOR ALUM ELEC 100UF, 25V, 20%, RADIAL MULTICOMP-MCGPR25V107M6.3X11-CAPACITOR ALUM ELEC 100UF, 25V, 20%, RADIAL",3638,0.14,0.14,,
6,05R5876,YES,,1.0,SSA23L-E3/61T,"VISHAY GENERAL SEMICONDUCTOR SCHOTTKY RECTIFIER, 2A 30V DO-214AC VISHAY GENERAL SEMICONDUCTOR-SSA23L-E3/61T-SCHOTTKY RECTIFIER, 2A 30V DO-214AC",952,0.31,0.31,,
7,90R9531,Y-EX,,16.0,1N5819,"MULTICOMP SCHOTTKY DIODE, 1A, 40V, DO-41 MULTICOMP-1N5819-SCHOTTKY DIODE, 1A, 40V, DO-41",5056,0.08,1.31,,
8,08F8145,YES,,2.0,SN754410NE,"TEXAS INSTRUMENTS IC, PERIPHERAL DRIVER, HALF-H, 1A, DIP16 TEXAS INSTRUMENTS-SN754410NE-IC, PERIPHERAL DRIVER, HALF-H, 1A, DIP16",71,3.38,6.76,,
9,70R0063,YES,,4.0,PT1,5/2-5.0-H,"PHOENIX CONTACT TERM BLOCK, PCB, SCREW, 5.0MM, 2WAY PHOENIX CONTACT-PT1,5/2-5.0-H-TERM BLOCK, PCB, SCREW, 5.0MM, 2WAY",3468,0.50,1.98,,
10,54K2830,YES,,1.0,PIC16F88-I/P,"MICROCHIP MCU, 8BIT, PIC16, 20MHZ, DIP-18 MICROCHIP-PIC16F88-I/P-MCU, 8BIT, PIC16, 20MHZ, DIP-18",1332,3.39,3.39,,
11,89M6854,YES,,1.0,CRCW12062K61FKEA,"VISHAY DALE RESISTOR, THICK FILM, 2.61KOHM, 250mW, 1% VISHAY DALE-CRCW12062K61FKEA-RESISTOR, THICK FILM, 2.61KOHM, 250mW, 1%",3571,0.14,0.14,,
12,53K2402,Y-EX,,1.0,CRCW1206422RFKEA,"VISHAY DALE RESISTOR, THICK FILM, 422 OHM, 250mW, 1% VISHAY DALE-CRCW1206422RFKEA-RESISTOR, THICK FILM, 422 OHM, 250mW, 1%",2743,0.01,0.01,,
13,75R5071,YES,,1.0,BZV55-C3V3,115,"NXP ZENER DIODE, 500mW, 3.3V, SOD-80C NXP-BZV55-C3V3,115-ZENER DIODE, 500mW, 3.3V, SOD-80C",2368,0.03,0.03,,
14,70K9170,YES,,1.0,C1206C106K4RACTU,"KEMET CAPACITOR CERAMIC, 10UF, 16V, X7R, 10%, 1206 KEMET-C1206C106K4RACTU-CAPACITOR CERAMIC, 10UF, 16V, X7R, 10%, 1206",2770,0.54,0.54,,
15,93K6506,YES,,1.0,CMD15-21VRD/TR8,"CHICAGO MINIATURE LIGHTING LED, RED, 1.5MM X 2MM, 4MCD, 640NM CHICAGO MINIATURE LIGHTING-CMD15-21VRD/TR8-LED, RED, 1.5MM X 2MM, 4MCD, 640NM",3703,0.27,0.27,,
16,15M8857,YES,,2.0,CMD15-21VGC/TR8,"CHICAGO MINIATURE LIGHTING LED, GREEN, 1.5MM X 2MM, 10MCD, 570NM CHICAGO MINIATURE LIGHTING-CMD15-21VGC/TR8-LED, GREEN, 1.5MM X 2MM, 10MCD, 570NM",2277,0.28,0.56,,
17,93K6508,YES,,2.0,CMD15-21VYD/TR8,"CHICAGO MINIATURE LIGHTING LED, YELLOW, 1.5MM X 2MM, 4MCD, 585NM CHICAGO MINIATURE LIGHTING-CMD15-21VYD/TR8-LED, YELLOW, 1.5MM X 2MM, 4MCD, 585NM",962,0.27,0.54,,
18,79M6160,YES,,1.0,MC1206S4F2200T5E,"MULTICOMP RESISTOR, THICK FILM, 220 OHM, 250mW, 1% MULTICOMP-MC1206S4F2200T5E-RESISTOR, THICK FILM, 220 OHM, 250mW, 1%",1624,0.10,0.10,,
19,53K2345,Y-EX,,1.0,CRCW12064K02FKEA,"VISHAY DALE RESISTOR, THICK FILM, 4.02KOHM, 250mW, 1% VISHAY DALE-CRCW12064K02FKEA-RESISTOR, THICK FILM, 4.02KOHM, 250mW, 1%",4917,0.01,0.01,,

,,,,,,,Subtotal,23.40
,,,,,,,Total de mercancías,23.40
,,,,,,,Envío básico,0.00
,,,,,,,Impuestos,0.00
,,,,,,,Total,23.40
